contract_id,source_id,page_or_section,doc_locator_as_seen,equipment_scope,work_stage,operation_phase,variable_name,measurement_height,temporal_support,averaging_interval,start_limit,continuation_limit,unit,threshold_basis_DOCUMENTED_or_ASSUMED,evidence_class,required_duration,duration_source,safe_terminal_state,interruption_permitted,failure_response,recovery_duration_source,resource_hold_during_pause,transfer_scope,sensitivity_range,reviewer_attack_risk,mitigation,evidence_grade,measurement_height_reference,open_issue,date_checked
OP01_tower_crane_segment_lift,S23,Ch. 2.1 item 4; Ch. 3.4; Sec. 3.4.1(h); Sec. 10.7.3.2,"Yongmao STT293 Tower Crane Operation & Service Manual, en-version 2.0, Ch. 2.1 item 4) 'the max. wind speed for operating is 20m/s'; Ch. 3.4 'the max. working wind speed is 20m/s'; Sec. 3.4.1(h) 'If the wind speed exceeds 20 m/s, it can sent audible and visual alarm, then the tower crane must stop working'; Sec. 10.7.3.2 'Set the limit value to 20 when it working'","Yongmao STT293 tower crane (hammerhead, A4 duty), manufacturer-rated",in-service lifting of a precast concrete deck segment,MAIN_LIFT,wind speed at crane anemometer,crane-mounted anemoscope; manual does NOT state the sensor height. Sec. 3.4.1(h) requires an anemoscope when working height > 50 m. Height treated as NOT_ESTABLISHED.,instantaneous anemometer reading at decision time,NOT_ESTABLISHED_IN_SOURCE,20,20,m/s,DOCUMENTED,DOCUMENTED_LIMIT,NOT_ESTABLISHED: manufacturer manual sets no time window; it is a magnitude stop rule only,no published duration found for one segmental lift cycle (open item),"load landed and released, hook raised, trolley driven to jib foot, slewing brake released to weathervane (Sec. 3.4.3 a-c). Out-of-service state is a separate variable.",yes during the lift; load must be set down before securing,"at 20 m/s audible+visual alarm and the crane must stop working (Sec. 3.4.1(h), Sec. 3.4.2 special notice). No instruction is given for a load already in the air.",no recovery time is documented by the manufacturer (open item),"ASSUMED: crane, crew and the suspended-load exclusion zone are held while the segment is set down","single crane, single segment; not transferable to other crane models","sweep 16.5 to 20 m/s (16.5 = UK industry recommendation, S24); sweep 0.70x-1.30x on whatever value is used","HIGH: 20 m/s is one model's manual figure; the manual never states the averaging interval or sensor height, so a reviewer can say the project compares a forecast gust to an unstated reference quantity",label 20 m/s as manufacturer in-service limit at crane anemometer; carry averaging interval as an explicit swept parameter; report the UK 16.5 m/s industry figure as the conservative alternative; never call 20 m/s a code requirement,PRIMARY_MANUFACTURER_MANUAL_TEXT_SEEN,"crane-mounted anemoscope; the manufacturer manual does NOT state the sensor height above ground. Contrast the Chinese codes (S35, S37), which do state a height.","averaging interval, sensor height and single-lift duration all NOT_ESTABLISHED",2026-09-15
OP01_tower_crane_segment_lift,S23,Sec. 2.4 item 1(c); Sec. 3.4.1(c) mechanical description; Sec. 10.7.3.2; Sec. 10.7.4.1,"Yongmao STT293 manual, Sec. 2.4 '1) Every time before starting up: ... c) Remove the cushion block, release the rail clamping device and other fixing devices (wind speed <=13m/s)'; Sec. 10.7.3.2 'Set the limit value to 13 when it hoisting'; Sec. 10.7.4.1 'W1 - 13m/s limit alarm set'",same crane; slewing-brake / rail-clamp release function,low-speed positioning and precision placement of the segment,POSITION_AND_RELEASE_CLAMPS,wind speed for precision slewing and clamp release,see measurement_height_reference,instantaneous anemometer reading,NOT_ESTABLISHED_IN_SOURCE,13,13,m/s,DOCUMENTED,DOCUMENTED_LIMIT,not stated; it is a magnitude gate on a specific crane function,manufacturer manual sets no duration for the positioning step,segment landed and held by the slewing brake only while wind <= 13 m/s; above that the jib must be free to weathervane,yes; below 13 m/s the brake must not be applied to hold the jib,release the slewing brake and let the jib weathervane; do not use the brake above 13 m/s,none documented,ASSUMED: same crew and crane held,crane-function-specific; not a general lifting limit,sweep 11 to 16 m/s,MEDIUM: a reviewer may read 13 m/s as the governing lift limit and claim the project contradicts itself when it also cites 20 m/s,"state explicitly that 13 m/s gates a crane FUNCTION (slewing-brake use, clamp release) while 20 m/s gates in-service OPERATION; encode both as separate variables",PRIMARY_MANUFACTURER_MANUAL_TEXT_SEEN,crane-mounted anemoscope (height NOT_ESTABLISHED),this 13 m/s function limit is not an operational stop-work threshold per se,2026-09-15
OP01_tower_crane_segment_lift,S24,"CPA TIN 101, 'The Effect of Wind on Mobile Cranes In-service', p.1","Construction Plant-hire Association, Crane Interest Group, Mobile Crane Technical Information Note TIN 101 Issue A (04.12.09), p.1: 'following a review of in-service wind speeds by the CPA Tower Crane Interest Group, involving tower crane suppliers, major contractors and the Health and Safety Executive; the industry recommended maximum wind speed at which tower cranes operating in the UK must be taken out of service is 38 mph (16.5 m/s, 60 kph)'",tower cranes operating in the UK (industry recommendation),in-service lifting,MAIN_LIFT,industry-recommended in-service wind speed limit for tower cranes,see measurement_height_reference,industry recommendation; no averaging interval stated in TIN 101,NOT_ESTABLISHED_IN_SOURCE,16.5,16.5,m/s,"DOCUMENTED (industry recommendation, not a standard clause and not law)",DOCUMENTED_LIMIT,not applicable; single magnitude threshold,not applicable,crane taken out of service per the manufacturer's instruction manual,yes,take the crane out of service; the operator may stop earlier and cannot be overridden,not documented,ASSUMED: resources held,UK tower-crane practice; also states the mobile-crane duty-chart maximum is normally 31 mph (14 m/s) and 'frequently well below',sweep 14 to 20 m/s; this row is the conservative end-member,"MEDIUM: TIN 101 is a plant-hire trade body note, not a code; a reviewer can ask why a UK trade note governs a non-UK site","present it as a corroborating industry recommendation, not as the legal basis, and run the main experiment at both 16.5 and 20 m/s so the choice is swept rather than asserted",PRIMARY_TRADE_BODY_NOTE_TEXT_SEEN,TIN 101 warns that 'most weather forecast wind speeds are for a height of 10m above ground and should be corrected for greater heights',no averaging interval; recommendation applies to tower cranes operated in the UK,2026-09-15
OP01_tower_crane_segment_lift,S23,Ch. 2.1 item 4; Sec. 3.4.3; Sec. 10.7 note,"Yongmao STT293 manual Ch. 2.1 item 4) 'the max. wind speed out of service is 50m/s'; Sec. 3.4.3 'Lift the hook to the top end; Drive the trolley to the jib foot, start the weather-vane and brake device, to make the jib slewing freely (weather-vane effect)'. Second jurisdiction for the securing state: S25 DGUV Vorschrift 52 Sec. 30(6)2. A THIRD, independent Chinese source (S38 GB 5144-2006 Sec. 6.3.4/6.8) likewise requires free slewing plus rail clamping in the non-working state and states NO number.","same crane, out-of-service / storm condition",parked crane between shifts and during storms,OUT_OF_SERVICE,out-of-service (storm) wind speed,see measurement_height_reference,design out-of-service state; not an hourly decision variable,NOT_ESTABLISHED_IN_SOURCE,50,50,m/s,DOCUMENTED,DOCUMENTED_LIMIT,"not applicable; a design state, not a work window",not applicable,"hook at top, trolley at jib foot, weathervane effect engaged so the jib slews freely, power off, rain measures applied, travelling cranes anchored on 4 rail clamps",not applicable; this is the terminal state,"DGUV 52 Sec. 30(6)1 requires securing 'rechtzeitig spaetestens bei Erreichen der fuer den Kran kritischen Windgeschwindigkeit und bei Arbeitsschluss' (in good time, at the latest on reaching the crane-critical wind speed and at the end of work)",not documented; return to service is not timed in any source seen,crane is released from the work face; no crew hold documented,design state only; must NOT be used as a work-continuation limit,"no sensitivity: treated as a hard design state, not swept","LOW for the value, HIGH for misuse: a 50 m/s out-of-service figure looks generous next to a 20 m/s in-service figure and invites the project to over-claim usable weather",keep OUT_OF_SERVICE strictly separate from the work-window logic and assert in code that the 50 m/s state can never authorise a start,PRIMARY_MANUFACTURER_MANUAL_TEXT_SEEN,not stated in the manual (NOT_ESTABLISHED),averaging interval and sensor height not stated by the manufacturer,2026-09-15
OP01_tower_crane_segment_lift,S25,"DGUV Vorschrift 52 'Krane', Sec. 30(6)1 and Durchfuehrungsanweisung to Sec. 30(6)1","DGUV Vorschrift 52, Sec. 30(6)1: 'dem Wind ausgesetzte Krane nicht ueber die vom Kranhersteller festgelegten Grenzen hinaus betrieben werden sowie rechtzeitig spaetestens bei Erreichen der fuer den Kran kritischen Windgeschwindigkeit und bei Arbeitsschluss durch die Windsicherung festgelegt werden'. DA zu Sec. 30 Abs. 6 Nr. 1: 'Grenzen fuer den Einsatz eines Kranes bei Windeinwirkung gibt der Kranhersteller in der Betriebsanleitung - gegebenenfalls auch in der Tragfaehigkeits-tabelle - an.'",all cranes within the German DGUV accident-prevention regulation,in-service operation and end-of-shift securing,GOVERNING_RULE,numeric wind limit (regulatory basis),see measurement_height_reference,continuous duty to secure the crane,NOT_ESTABLISHED_IN_SOURCE,NO_NUMERIC_VALUE_IN_REGULATION,NO_NUMERIC_VALUE_IN_REGULATION,n/a,DOCUMENTED,DOCUMENTED_PROCEDURE,not applicable,not applicable,crane secured by the manufacturer's wind-securing arrangement,yes,stop exceeding the manufacturer limit and secure the crane,not documented,not addressed by the regulation,KEY EVIDENCE: a national crane safety regulation defers the numeric wind limit to the crane manufacturer rather than fixing one,not applicable,"LOW: this row is negative evidence and actually protects the contract, because it shows why no single code number exists",cite this row whenever a reviewer asks why the contract does not use one universal wind number; it documents the delegation to the manufacturer,PRIMARY_REGULATION_TEXT_SEEN,not specified by the regulation,none for the delegation rule; no number is available from this source by design,2026-09-15
OP01_tower_crane_segment_lift,S25,"DGUV Vorschrift 52, Sec. 30(6)2","DGUV Vorschrift 52, Sec. 30(6)2, on tower slewing cranes and jib cranes that must swing into the wind for stability: before leaving the control station the operator must unload the hook and lifting gear, raise the hook, release the slewing brake, bring the trolley to the rest position and the jib to its widest position",tower slewing cranes and jib cranes,end of shift; high-wind securing,OUT_OF_SERVICE,securing procedure (storm state),see measurement_height_reference,at end of shift and when the critical wind speed is reached,not applicable,not applicable,not applicable,n/a,DOCUMENTED,DOCUMENTED_PROCEDURE,not applicable,not applicable,"load and lifting gear unhooked, hook raised, slewing brake released, trolley at rest position, jib in its widest position so it can swing into the wind",not applicable,if the jib may be driven against obstacles the operator must carry out the measures fixed by the employer,not documented,not addressed,"a citable, jurisdiction-level definition of the secured terminal state; corroborates the manufacturer's weathervane procedure in S23",not applicable,"LOW: it is a procedure, not a threshold; the risk is only that a reader mistakes it for a numeric limit",tag this row PROCEDURE in the JSON contract and never read a number out of it,PRIMARY_REGULATION_TEXT_SEEN,not applicable,none,2026-09-15
OP01_tower_crane_segment_lift,S26,29 CFR 1926.1417(n); 29 CFR 1926.1435(b)(4)(iii); 29 CFR 1926.1435(e)(6)(v),"29 CFR 1926.1417(n): 'The competent person must adjust the equipment and/or operations to address the effect of wind, ice, and snow on equipment stability and rated capacity.' 29 CFR 1926.1435(b)(4)(iii) 'Wind speed. Wind must not exceed the speed recommended by the manufacturer or, where manufacturer does not specify this information, the speed determined by a qualified person.' 29 CFR 1926.1435(e)(6)(v): a wind speed indicator must display wind speed and be mounted above the upper rotating structure on tower cranes.",cranes and derricks in construction (US federal regulation),operation and tower-crane erection/climbing/dismantling,GOVERNING_RULE,numeric wind limit (US regulatory basis),see measurement_height_reference,"competent-person judgement, continuous",NOT_ESTABLISHED_IN_SOURCE,NO_NUMERIC_VALUE_IN_REGULATION,NO_NUMERIC_VALUE_IN_REGULATION,n/a,DOCUMENTED,DOCUMENTED_PROCEDURE,not applicable,not applicable,1926.1417(h): on a local storm warning the competent person determines whether to implement manufacturer recommendations for securing the equipment,yes; the competent person must adjust or stop operations,"adjust equipment and/or operations, or stop, when wind threatens stability or capacity",not documented,not addressed by the regulation,SECOND independent jurisdiction confirming that the numeric limit is delegated to the manufacturer; also the only source seen that mandates the instrument location,not applicable,"LOW as evidence, but a reviewer may ask for the OSHA numeric limit and be dissatisfied that none exists",state plainly that OSHA Subpart CC contains no numeric wind threshold and requires manufacturer or qualified-person values; use the S23 manual value as the concrete number,PRIMARY_REGULATION_TEXT_SEEN,wind speed indicator above the upper rotating structure (tower cranes); no height above ground is prescribed,no federal numeric threshold exists to cite,2026-09-15
OP02_segmental_epoxy_jointing,S27,"VDOT IIM-S&B-91 (13 Dec 2016), Sec. 453-5.3; Sec. 453-5.7.1","VDOT IIM-S&B-91, Sec. 453-5.3 Substrate Temperatures and Epoxy Formulation: 'Apply the epoxy bonding agent only when the substrate temperature of both surfaces to be joined is between 40 degrees F and 115 degrees F.' Sec. 453-4.4 restates the range for formulation selection. Sec. 453-5.7.1 Cooling in Hot Weather: 'If the substrate temperature exceeds 115 degrees F, do not proceed with epoxy jointing.'",match-cast precast concrete segmental bridge joints; ASTM C881 Type VI/VII Grade 3 epoxy,jointing of a newly erected segment to the previously placed segment,SUBSTRATE_TEMPERATURE_GATE,substrate (concrete mating-surface) temperature,see measurement_height_reference,at the moment of epoxy application and through the open time,instantaneous surface temperature; no averaging period is specified,40,40,degrees F,DOCUMENTED,DOCUMENTED_LIMIT,the temperature must hold through application and the contact-pressure window (see OP02_open_time rows),"Sec. 453-5.1, 453-5.4 and 453-5.6 define the window contents, not its length","joint filled, discernible extruded epoxy bead along the exposed joint edges, contact pressure maintained until the epoxy has hardened and cured",NO interruption is permitted inside the open-time window; the joint must be completed or the segments separated and cleaned,"below 40 degrees F: either stop, or use an artificial enclosure and raise the whole joint surface to at least 40 degrees F (Sec. 453-5.7.2)",Sec. 453-5.7.2 item 4: maintain substrate between 40 and 95 degrees F for at least 24 hours after joining the surfaces,"DOCUMENTED: the joint position, the erection equipment contact pressure and the crew are held for the curing period; contact pressure must not be reduced until the epoxy has cured",a US state DOT instructional memorandum that incorporates FDOT Specification 452/453; not a European or ISO standard,sweep the lower bound 35 to 45 degrees F in 2.5 degree steps,"MEDIUM: a state DOT IIM is a contractual specification for one owner, not a national code",label the locator precisely as VDOT IIM-S&B-91 Sec. 453-5.3 and state that it is a specification-level requirement; note that GB 50666-2011 Sec. 8.1.2 gives an independent 5 degrees C (=41 degrees F) lower bound for a different material placement operation,PRIMARY_OWNER_SPECIFICATION_TEXT_SEEN,"measured on the concrete mating surfaces of the joint (substrate temperature), not air temperature",the 40/115 degrees F window is an owner specification and site-specific by nature,2026-09-15
OP02_segmental_epoxy_jointing,S27,"VDOT IIM-S&B-91, Sec. 453-5.3; Sec. 453-5.7.1; Sec. 453-5.7.2 items 3-4","Sec. 453-5.3 upper bound 115 degrees F; Sec. 453-5.7.1 'If the substrate temperature exceeds 115 degrees F, do not proceed with epoxy jointing.' Sec. 453-5.7.2 item 3: 'Prevent localized heating and the temperature of the substrate exceeding 95 degrees F at any point on the surface. Direct flame heating of the concrete is not allowed.' Sec. 453-5.7.2 closing sentence: 'Epoxy jointing operations may proceed if the air temperature is above 45 degrees F and rising and the limitations above are met.'","same joint operation, hot-weather and artificially heated cases",jointing,SUBSTRATE_TEMPERATURE_UPPER_BOUND,substrate temperature upper bound / heated-enclosure cap,see measurement_height_reference,at the moment of application,instantaneous; no averaging period specified,115,115,degrees F,DOCUMENTED,DOCUMENTED_LIMIT,not applicable; a magnitude stop rule,not applicable,segments separated and faces protected if the upper bound is breached,yes before mixing; no once epoxy has been applied to both faces,"above 115 degrees F do not proceed; cooling by shading and/or wetting is allowed but the 'no free moisture at the time of application' rule must still hold (Sec. 453-5.2, 453-5.7.1)",not stated for the hot-weather case; the 24-hour hold in Sec. 453-5.7.2 applies only to the artificially heated cold-weather case,resources wait for a cooler period; no fixed duration is documented,specification-level; the 95 degrees F cap applies only inside a heated enclosure,sweep 95 to 115 degrees F for the hot-weather stop; sweep the 45 degrees F air-temperature rule 40 to 50 degrees F,"LOW-MEDIUM: three different temperatures (45 air, 95 cap in enclosure, 115 substrate stop) can be conflated by a careless reader",expose the three temperatures as three separate JSON fields with distinct applicability flags (air / enclosure-interior / substrate),PRIMARY_OWNER_SPECIFICATION_TEXT_SEEN,concrete mating surfaces; air temperature for the 45 degrees F rule,hot-weather recovery duration is not documented,2026-09-15
OP02_segmental_epoxy_jointing,S27,"VDOT IIM-S&B-91, Sec. 453-5.1; Sec. 453-5.6; Sec. 453-4.5.2; Sec. 453-5.4","Sec. 453-5.1: the erection manual must ensure 'the time elapsing between mixing components of the first batch of epoxy bonding agent applied to the joining surfaces of precast concrete segments and the application of a compressive contact pressure across the joint does not exceed 70% of the open time for the particular formulation of epoxy bonding agent used.' Sec. 453-4.5.2: 'The contact time (open time) of the mixed epoxy-bonding agent shall be: Normal-Set Epoxy 60 minutes, minimum; Slow-Set Epoxy 6 hours, minimum.' Sec. 453-5.6: 'If the time between combining the components of the epoxy bonding agent and applying the compressive contact pressure exceeds 70% of the minimum open time, immediately separate the segments and clean in accordance with 453-5.8.' Sec. 453-5.4: 'Schedule mixing of the epoxy bonding agent so that the material in a batch is applied to the face of a joint within a maximum of 20 minutes after combining the components.'","mixed epoxy bonding agent, normal-set and slow-set formulations","joint making: mix, apply, bring together, apply contact pressure",OPEN_TIME_WINDOW,elapsed time from epoxy mixing to applied contact pressure,see measurement_height_reference,elapsed-time stopwatch from combining components; the manufacturer/VDOT window is a non-preemptive interval,not applicable,0,42,minutes (normal-set formulation),DOCUMENTED,DOCUMENTED_LIMIT_OUR_ARITHMETIC,normal-set epoxy open time minimum 60 minutes; the maximum usable elapsed time is 70% x 60 = 42 minutes before the contact pressure must already be applied,"Sec. 453-4.5.2 gives the 60-minute minimum open time; Sec. 453-5.1/453-5.6 give the 70% rule. The 42-minute figure is our arithmetic on two documented values, not a printed number.","contact pressure applied and maintained, bead of epoxy extruded all around the joint, internal ducts swabbed","NO. Reducing or interrupting contact pressure before cure is not permitted, and exceeding 70% of the open time forces separation of the segments.","exceed the 70% limit, or leave the joint incompletely filled and sealed: separate the segments and remove all epoxy from the faces with spatulas and approved solvent","Sec. 453-5.8: 'Do not re-apply epoxy until the faces have been properly cleaned and solvents dispersed, for a period of 24 hours.' This is a documented 24-hour recovery.","DOCUMENTED: the segment, the erection equipment, the contact-pressure system and the crew are held from mixing until the epoxy has hardened",the only operation in this contract with a fully documented non-preemptive window AND a documented recovery duration,"sweep the usable window 30 / 42 / 60 minutes; sweep the recovery duration 0 / 12 / 24 hours (24 h is documented, 0 and 12 h are NOT documented and exist only as a stress test)","LOWEST of all operations, but a reviewer can still object that 42 minutes is our arithmetic and that a specific project's erection manual fixes a different value","print both documented numbers (60-minute minimum open time, 70% rule) next to the derived 42 minutes and label the derived value as our calculation; expose the window as a swept parameter",PRIMARY_OWNER_SPECIFICATION_TEXT_SEEN,not applicable (time variable),"the actual project erection manual is not public, so 42 minutes is a specification default",2026-09-15
