"cite_key","authors","year","title","venue","doi_or_url","verified_yes_no","evidence_level","object_and_scale","weather_data_used","forecast_latency_handled","calibration_target","decision_nonanticipatory_yes_no","metrics_used","what_it_does_NOT_do_that_this_project_does","threat_level_to_our_novelty"
"kerkhove2017","Kerkhove, L.-P.; Vanhoucke, M.","2017","Optimised scheduling for weather sensitive offshore construction projects","Omega","https://doi.org/10.1016/j.omega.2016.01.011","yes","abstract+metadata only (final journal version); author doctoral thesis chapters 7-8 read from local PDF sources/raw/kerkhove_2016_thesis.pdf","resource-constrained offshore construction project; weather-sensitive activities; real case parameters","simulated joint wind-wave states (transition probabilities + Weibull persistence, 4-hour step); NOT an archived NWP forecast","no","none","no (optimises pre-set activity resource-release times, then compares via simulation with common random numbers)","expected net present value; schedule; common-random-number variance reduction","use real archived as-issued NWP runs; distinguish start from continuation thresholds; report unsafe-exceedance exposure and regret against perfect foresight","high"
"zhou2021","Zhou, Y.; Miao, J.; Yan, B.; Zhang, Z.","2021","Stochastic resource-constrained project scheduling problem with time varying weather conditions and an improved estimation of distribution algorithm","Computers & Industrial Engineering","https://doi.org/10.1016/j.cie.2021.107322","yes","full text read (sources/extracted/zhou2021_cie.txt; 15 pp)","stochastic RCPSP on benchmark-style instances; time-varying weather affecting activity durations","SIMULATED weather: workable-day probability w(t) drives activity duration distributions; NOT an as-issued forecast archive","no","none (workable-day probability given, not calibrated from a forecast product)","no (offline stochastic optimisation over simulated scenarios with common random numbers)","expected makespan; EDA convergence","use a real archived as-issued NWP trajectory; audit forecast publication latency; fit a calibrator of the decision-relevant exceedance event; report exposure-miss and regret vs blind baselines","high"
"ballesteros2017","Ballesteros-Pérez, P.; Rojas-Céspedes, Y. A.; Hughes, W.; Kabiri, S.; Pellicer, E.; Mora-Melià, D.; del Campo-Hitschfeld, M. L.","2017","Weather-wise: A weather-aware planning tool for improving construction productivity and dealing with claims","Automation in Construction","https://doi.org/10.1016/j.autcon.2017.08.022","yes","author-version full text read (sources/raw/weatherwise_author.pdf pp.4-16, 31-39); final journal version metadata only","building construction planning; two Spanish locations; activity precedence and durations","historical weather records driving a stochastic weather-productivity-delay model","no","none","no","project duration increase when weather is ignored (reported 5-20%)","feed an as-issued NWP forecast into the decision; treat forecast-to-observation calibration as the object of study; run a non-anticipative online replay","medium"
"ballesteros2018","Ballesteros-Pérez, P.; Smith, S. T.; Lloyd-Papworth, J. G.","2018","Incorporating the effect of weather in construction scheduling and management with sine wave curves: application in the United Kingdom","Construction Management and Economics","https://doi.org/10.1080/01446193.2018.1478109","yes","metadata only","construction scheduling method with a UK case application","seasonal sine-wave weather model fitted to historical climate records","no","none","no","activity duration adjustment; schedule comparison","use forecast trajectories rather than climatological envelopes; evaluate downstream decisions under uncertainty","low"
"shahin2011","Shahin, A.; AbouRizk, S. M.; Mohamed, Y.","2011","Modeling Weather-Sensitive Construction Activity Using Simulation","Journal of Construction Engineering and Management","https://doi.org/10.1061/(ASCE)CO.1943-7862.0000258","yes","abstract+metadata only","general weather-sensitive construction activity simulation","historical weather records driving simulation","no","none","no","activity duration distributions; productivity loss","use forecast trajectories with an explicit as-issued information set; decision-aligned calibration","medium"
"peng2023","Peng, W.; Lin, X.; Li, H.","2023","Critical chain based Proactive-Reactive scheduling for Resource-Constrained project scheduling under uncertainty","Expert Systems with Applications","https://doi.org/10.1016/j.eswa.2022.119188","yes","metadata only","resource-constrained project scheduling under general uncertainty","general uncertainty, not weather-specific and not forecast-specific","no","none","yes (proactive-reactive policy reacts to realised state)","makespan; schedule stability; buffer performance","use a weather forecast as the information source, calibrate it at the operation threshold, and add unsafe-exceedance plus regret metrics","medium"
"doskeland2023","Døskeland, Ø.; Gudmestad, O. T.; Moen, P.","2023","Use of response forecasting in decision making for weather sensitive offshore construction work","Ocean Engineering","https://doi.org/10.1016/j.oceaneng.2023.115896","yes","full text read (sources/extracted/doskeland2023_oceaneng.txt; CC-BY)","offshore installation contractor perspective; pipelay case study; operational decision-support service","operational wave forecasts (2-D spectra + wave-parameter forecasts) for one offshore campaign; forecast RMS error vs wave buoy by lead time","yes - decision timeline (Fig. 8) states forecast issue time, 8-9 h distribution delay, ~3 h response-calculation processing, and replaces outdated forecasts with the next issue (step 4b)","none statistical; forecast uncertainty handled by lead-time-dependent alpha factors and response limits (no fitted calibrator, no Brier/reliability)","yes in the case-study decision timeline (only forecasts available before the decision are used); no multi-year chronological-split replay","correctly vs incorrectly identified weather windows; RMS error vs buoy by lead time; qualitative reliability/efficiency","multi-year, multi-station, chronologically split replay benchmark; latency rule audited from archive object timestamps (uses stated issue times + assumed processing instead); fitted probabilistic calibration with Brier/reliability diagnostics of the block-exceedance event; cost-loss relative-economic-value curves; exposure-miss accounting across risk settings","high (already accounts for forecast availability/timeliness, which removes any claim to that concept)"
"jafarpour2024","Jafarpour Hamedani, S.; Khedmati, M. R.","2024","Optimized planning for weather-sensitive offshore construction operations - An application to float-over installation of super-heavy offshore topsides","Ocean Engineering","https://doi.org/10.1016/j.oceaneng.2024.117027","yes","full text read (sources/extracted/jafarpour2024_oceaneng.txt; 13 pp)","single mega-operation: float-over installation of super-heavy offshore topsides","metocean conditions; deterministic and probabilistic (Monte Carlo + importance sampling) weather-window analysis via coupled hydrodynamic limit-state functions; DNV reduction factors for forecast level A1","no","failure probability of limit states mapped to acceptable-risk criteria (reliability-based window); not a statistical calibration of forecast-to-observed event","no (offline planning analysis of a single operation)","failure probability; reliability index; weather-window duration; waiting time sensitivity","multi-activity resource-coupled replay; multi-year as-issued forecast archive with latency audit; fitted forecast-event calibration with Brier/reliability; regret and exposure-miss comparison against blind/raw/climatology baselines","high (domain proximity; probabilistic weather windows for one operation)"
"hong2026","Hong, S.; Zhang, H.; Halse, K. H.","2026","Persistence-based operability for time-constrained onsite installation of floating offshore wind turbines: Poisson interval framework","Marine Structures","https://doi.org/10.1016/j.marstruc.2026.104144","yes","abstract+metadata only","time-constrained onsite installation of floating offshore wind turbines; interval-based operability","persistence statistics of metocean conditions; Poisson interval framework","unclear","none","no (probabilistic assessment, not a rolling decision policy)","operability; interval/persistence statistics; per-turbine installation time","couple operability statistics to an archived forecast's information set and to a rolling non-anticipative controller; report schedule delay, idle time and exceedance exposure together","medium"
"tinoco2019","Tinoco, F.; Ting, K. C.; Chavan, K.","2019","The Use of Ensemble Forecast in Defining Offshore Installation Operability: A Case Study on Umbilical Shore Float-In Operations","ASME OMAE 2019 - Volume 1: Offshore Technology; Offshore Geotechnics","https://doi.org/10.1115/omae2019-96137","yes","abstract read from ASME Digital Collection page (full text paywalled, USD 25)","single offshore installation operation (umbilical shore float-in)","ensemble (probabilistic) forecast used to define operability windows","not addressed in abstract (ensemble forecast used as the decision input)","operability threshold on ensemble forecast (replaces conservative Alpha factors)","unclear from abstract (ensemble used to define window and start decision)","operability windows; ensemble-based downtime estimate","multi-activity scheduling replay with competing resources; separate calibration quality from scheduling value; report regret and unsafe-exceedance accounting (unknown without full text)","high"
